OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area,COUNTY_NAME,PREFERRED_CITY
1,98001,98001,033,Standard,148134.770976135,526121353.970491,King County,AUBURN
2,98002,98002,033,Standard,105168.476815112,204445228.312011,King County,AUBURN
3,98003,98003,033,Standard,121645.070703541,316981231.53794,King County,FEDERAL WAY
4,98004,98004,033,Standard,99252.9323267137,250546609.238815,King County,BELLEVUE
5,98005,98005,033,Standard,116930.355167545,211273338.089154,King County,BELLEVUE
6,98006,98006,033,Standard,95176.1961693712,345197027.286842,King County,BELLEVUE
7,98007,98007,033,Standard,113766.571301452,116056757.680039,King County,BELLEVUE
8,98008,98008,033,Standard,91714.8457182918,221146807.427289,King County,BELLEVUE
9,98010,98010,033,Standard,134379.97933223,518397793.320671,King County,BLACK DIAMOND
10,98011,98011,033,Standard,73480.1794146254,197850023.235414,King County,BOTHELL
11,98011,98011,061,Standard,2710.68922786643,150283.790724959,Snohomish County,BOTHELL
12,98012,98012,061,Standard,112199.069878848,422046666.341625,Snohomish County,BOTHELL
13,98014,98014,033,Standard,227524.533743361,1160183705.47592,King County,CARNATION
14,98019,98019,033,Standard,312686.673324595,3189331497.44724,King County,DUVALL
15,98019,98019,061,Standard,7976.11143896636,2266669.88920626,Snohomish County,DUVALL
16,98020,98020,061,Standard,92391.2763170023,502335637.342061,Snohomish County,EDMONDS
17,98021,98021,061,Standard,103819.800609467,272544934.786669,Snohomish County,BOTHELL
18,98022,98022,033,Standard,734601.564889535,11361441815.635,King County,ENUMCLAW
19,98022,98022,053,Standard,295979.59225798,2507633660.90162,Pierce County,ENUMCLAW
20,98023,98023,033,Standard,111337.685597124,514783786.238896,King County,FEDERAL WAY
21,98024,98024,033,Standard,364989.289406286,2194725628.89601,King County,FALL CITY
22,98026,98026,061,Standard,142218.853125343,466680527.158655,Snohomish County,EDMONDS
23,98027,98027,033,Standard,277348.583429334,1610008387.5757,King County,ISSAQUAH
24,98028,98028,033,Standard,71488.2307473323,199653136.516521,King County,KENMORE
25,98029,98029,033,Standard,113231.918846869,276660592.724192,King County,ISSAQUAH
26,98030,98030,033,Standard,94408.0803580538,200119663.946783,King County,KENT
27,98031,98031,033,Standard,116930.4314939,228054211.129256,King County,KENT
28,98032,98032,033,Standard,162578.13763298,480428911.945911,King County,KENT
29,98033,98033,033,Standard,99928.6710794039,331758340.564426,King County,KIRKLAND
30,98034,98034,033,Standard,101527.443218759,325024479.067729,King County,KIRKLAND
31,98036,98036,061,Standard,111908.700992278,267158459.054991,Snohomish County,LYNNWOOD
32,98037,98037,061,Standard,78136.4159390061,168863901.907376,Snohomish County,LYNNWOOD
33,98038,98038,033,Standard,315896.766854551,1649765965.57063,King County,MAPLE VALLEY
34,98039,98039,033,Standard,61258.0272765496,155177417.724138,King County,MEDINA
35,98040,98040,033,Standard,86242.1868291449,355630909.408548,King County,MERCER ISLAND
36,98042,98042,033,Standard,208579.219595235,762832084.229282,King County,KENT
37,98043,98043,061,Standard,46970.6897693763,115804612.755818,Snohomish County,MOUNTLAKE TERRACE
38,98045,98045,033,Standard,640386.990953662,8056305442.84687,King County,NORTH BEND
39,98047,98047,033,Standard,41647.247866133,48681262.7238263,King County,PACIFIC
40,98047,98047,053,Standard,19937.7304027148,19319883.4562564,Pierce County,PACIFIC
41,98050,98050,033,Standard,62720.6505376446,39535965.416242,King County,PRESTON
42,98051,98051,033,Standard,211663.339537407,1150005809.70896,King County,RAVENSDALE
43,98052,98052,033,Standard,162952.318995632,570043809.728356,King County,REDMOND
44,98053,98053,033,Standard,199008.592647523,771625783.031904,King County,REDMOND
45,98055,98055,033,Standard,67549.0391796921,124512596.335866,King County,RENTON
46,98056,98056,033,Standard,89775.4740096285,233915027.812361,King County,RENTON
47,98057,98057,033,Standard,88611.1904520484,189693897.323161,King County,RENTON
48,98058,98058,033,Standard,172557.150348789,627622243.800698,King County,RENTON
49,98059,98059,033,Standard,146091.39130467,462163566.650114,King County,RENTON
50,98065,98065,033,Standard,345717.472557848,2404508900.94716,King County,SNOQUALMIE
51,98068,98068,033,PO Box,12574.0267462685,2805831.87750898,King County,SNOQUALMIE PASS
52,98068,98068,037,PO Box,220130.818473637,1770029111.04895,Kittitas County,SNOQUALMIE PASS
53,98070,98070,033,Standard,205883.685390716,2275005193.62346,King County,VASHON
54,98072,98072,033,Standard,118806.069856723,368741989.40786,King County,WOODINVILLE
55,98072,98072,061,Standard,78248.234395709,151344185.886116,Snohomish County,WOODINVILLE
56,98074,98074,033,Standard,116776.5075042,375981442.11882,King County,SAMMAMISH
57,98075,98075,033,Standard,133344.558511607,335805428.5996,King County,SAMMAMIISH
58,98077,98077,033,Standard,117061.095647468,419740022.500678,King County,WOODINVILLE
59,98077,98077,061,Standard,50110.1240030627,75926072.5352454,Snohomish County,WOODINVILLE
60,98087,98087,061,Standard,68003.5198361596,156580450.322233,Snohomish County,LYNNWOOD
61,98092,98092,033,Standard,266634.928062559,1212408006.01068,King County,AUBURN
62,98092,98092,053,Standard,35672.5508071444,46337339.5041486,Pierce County,AUBURN
63,98101,98101,033,Standard,34762.0122302277,24561425.972712,King County,SEATTLE
64,98102,98102,033,Standard,37488.7807910725,43221885.5426722,King County,SEATTLE
65,98103,98103,033,Standard,72548.6887434722,143997337.639658,King County,SEATTLE
66,98104,98104,033,Standard,44110.993100029,38700837.1798746,King County,SEATTLE
67,98105,98105,033,Standard,82806.9861132748,150454102.472681,King County,SEATTLE
68,98106,98106,033,Standard,87758.5364435432,152983934.134875,King County,SEATTLE
69,98107,98107,033,Standard,48310.5920575519,67166161.0927585,King County,SEATTLE
70,98108,98108,033,Standard,84971.3130941246,215211172.366252,King County,SEATTLE
71,98109,98109,033,Standard,40749.0345580628,66355767.8118919,King County,SEATTLE
72,98110,98110,035,Standard,191012.616385228,1852123613.1412,Kitsap County,BAINBRIDGE ISLAND
73,98112,98112,033,Standard,53875.6353472221,140307621.461786,King County,SEATTLE
74,98115,98115,033,Standard,87055.0029767393,243215212.88446,King County,SEATTLE
75,98116,98116,033,Standard,85468.9898371274,370400349.361688,King County,SEATTLE
76,98117,98117,033,Standard,71765.927036669,178118360.919118,King County,SEATTLE
77,98118,98118,033,Standard,87942.2814517691,257268049.935433,King County,SEATTLE
78,98119,98119,033,Standard,54982.698757325,112220017.272859,King County,SEATTLE
